t,V,X,P
2260.20705101448,11.2640545327968,24490,479.898124670849
2261.09489737622,11.2632099774284,24500,479.827428179030
2261.98281031432,11.2623654537819,24510,479.756742150970
2262.87078983625,11.2615209619100,24520,479.686066589620
2263.75883594950,11.2606765018656,24530,479.615401497931
2264.64694866153,11.2598320737014,24540,479.544746878855
2265.53512797982,11.2589876774704,24550,479.474102735348
2266.42337391183,11.2581433132254,24560,479.403469070362
2267.31168646503,11.2572989810194,24570,479.332845886855
2268.20006564689,11.2564546809054,24580,479.262233187783
2269.08851146485,11.2556104129364,24590,479.191630976104
2269.97702392638,11.2547661771653,24600,479.121039254777
2270.86560303893,11.2539219736454,24610,479.050458026762
2271.75424880994,11.2530778024296,24620,478.979887295020
2272.64296124686,11.2522336635712,24630,478.909327062512
2273.53174035714,11.2513895571232,24640,478.838777332203
2274.42058614822,11.2505454831390,24650,478.768238107056
2275.30949862753,11.2497014416717,24660,478.697709390036
2276.19847780250,11.2488574327746,24670,478.627191184110
2277.08752368058,11.2480134565011,24680,478.556683492245
2277.97663626917,11.2471695129044,24690,478.486186317409
2278.86581557572,11.2463256020380,24700,478.415699662572
2279.75506160763,11.2454817239553,24710,478.345223530703
2280.64437437233,11.2446378787097,24720,478.274757924776
2281.53375387724,11.2437940663547,24730,478.204302847761
2282.42320012976,11.2429502869438,24740,478.133858302632
2283.31271313731,11.2421065405305,24750,478.063424292365
2284.20229290728,11.2412628271685,24760,477.993000819934
2285.09193944708,11.2404191469114,24770,477.922587888317
2285.98165276412,11.2395754998128,24780,477.852185500490
2286.87143286578,11.2387318859263,24790,477.781793659433
2287.76127975946,11.2378883053058,24800,477.711412368126
2288.65119345255,11.2370447580050,24810,477.641041629550
2289.54117395243,11.2362012440776,24820,477.570681446686
2290.43122126649,11.2353577635775,24830,477.500331822517
2291.32133540211,11.2345143165585,24840,477.429992760027
2292.21151636667,11.2336709030745,24850,477.359664262202
2293.10176416753,11.2328275231795,24860,477.289346332027
2293.99207881208,11.2319841769274,24870,477.219038972489
2294.88246030767,11.2311408643722,24880,477.148742186578
2295.77290866167,11.2302975855679,24890,477.078455977281
2296.66342388144,11.2294543405686,24900,477.008180347589
2297.55400597434,11.2286111294284,24910,476.937915300494
2298.44465494772,11.2277679522014,24920,476.867660838988
2299.33537080894,11.2269248089418,24930,476.797416966063
2300.22615356533,11.2260816997038,24940,476.727183684716
2301.11700322426,11.2252386245416,24950,476.656960997941
2302.00791979304,11.2243955835094,24960,476.586748908735
2302.89890327904,11.2235525766617,24970,476.516547420095
2303.78995368957,11.2227096040527,24980,476.446356535020
2304.68107103198,11.2218666657367,24990,476.376176256510
2305.57225531358,11.2210237617683,25000,476.306006587565
2306.46350654171,11.2201808922018,25010,476.235847531188
2307.35482472369,11.2193380570917,25020,476.165699090381
2308.24620986682,11.2184952564925,25030,476.095561268147
2309.13766197844,11.2176524904588,25040,476.025434067493
2310.02918106585,11.2168097590451,25050,475.955317491424
2310.92076713635,11.2159670623061,25060,475.885211542947
2311.81242019726,11.2151244002964,25070,475.815116225071
2312.70414025588,11.2142817730706,25080,475.745031540803
2313.59592731949,11.2134391806836,25090,475.674957493155
2314.48778139541,11.2125966231900,25100,475.604894085138
2315.37970249092,11.2117541006447,25110,475.534841319764
2316.27169061330,11.2109116131024,25120,475.464799200047
2317.16374576985,11.2100691606180,25130,475.394767729001
2318.05586796785,11.2092267432465,25140,475.324746909641
2318.94805721456,11.2083843610426,25150,475.254736744983
2319.84031351728,11.2075420140615,25160,475.184737238047
2320.73263688327,11.2066997023580,25170,475.114748391849
2321.62502731979,11.2058574259872,25180,475.044770209411
