,t,V,X,P,wo2
281,248.850221759416,11.1741844741371,2810,330.926197572227,2561032.77981301
282,249.745209003451,11.1733436053443,2820,330.888697312698,2560736.63864972
283,250.64026360332,11.1725027740934,2830,330.851201571318,2560440.50875988
284,251.535385566149,11.1716619804408,2840,330.813710350006,2560144.39014215
285,252.430574899062,11.1708212244431,2850,330.776223650692,2559848.28279515
286,253.325831609178,11.1699805061568,2860,330.738741475298,2559552.18671755
287,254.221155703612,11.1691398256383,2870,330.701263825743,2559256.10190799
288,255.116547189477,11.1682991829444,2880,330.663790703960,2558960.02836511
289,256.012006073881,11.1674585781316,2890,330.626322111872,2558663.96608755
290,256.907532363929,11.1666180112567,2900,330.588858051410,2558367.91507397
291,257.803126066721,11.1657774823762,2910,330.551398524495,2558071.87532301
292,258.698787189356,11.164936991547,2920,330.513943533065,2557775.84683329
293,259.594515738928,11.1640965388259,2930,330.476493079049,2557479.82960348
294,260.490311722526,11.1632561242695,2940,330.439047164370,2557183.82363221
295,261.386175147238,11.1624157479348,2950,330.401605790967,2556887.82891811
296,262.282106020146,11.1615754098786,2960,330.364168960771,2556591.84545984
297,263.178104348329,11.1607351101579,2970,330.326736675715,2556295.87325602
298,264.074170138864,11.1598948488296,2980,330.289308937738,2555999.91230530
299,264.970303398822,11.1590546259507,2990,330.251885748771,2555703.96260632
300,265.866504135271,11.1582144415782,3000,330.214467110752,2555408.02415771
301,266.762772355276,11.1573742957691,3010,330.177053025615,2555112.09695811
302,267.659108065898,11.1565341885806,3020,330.139643495304,2554816.18100615
303,268.555511274194,11.1556941200698,3030,330.102238521757,2554520.27630047
304,269.451981987218,11.1548540902938,3040,330.064838106908,2554224.38283971
305,270.348520212019,11.1540140993099,3050,330.027442252707,2553928.50062250
306,271.245125955643,11.1531741471752,3060,329.990050961087,2553632.62964747
307,272.141799225133,11.1523342339471,3070,329.952664233998,2553336.76991325
308,273.038540027528,11.1514943596828,3080,329.915282073378,2553040.92141848
